,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre,periodo_años
Temperatura_media(C),4.8,6.0,9.2,12.2,16.7,22.8,26.0,25.6,20.9,15.1,8.6,5.5,1991-2021
Temperatura_min.(C),0.9,1.4,3.8,6.4,10.3,15.7,18.8,18.5,14.8,10.2,4.7,1.8,1991-2021
Temperatura_max.(C),9.5,11.4,15.0,17.9,22.6,29.0,32.4,31.9,26.8,20.3,13.2,10.1,1991-2021
Precipitacion(mm),41.0,34.0,40.0,47.0,39.0,16.0,6.0,8.0,22.0,61.0,55.0,46.0,1991-2021
Humedad,77.0,69.0,60.0,57.0,48.0,35.0,28.0,30.0,41.0,60.0,72.0,77.0,1991-2021
Dias_lluviosos,5.0,4.0,4.0,6.0,5.0,3.0,1.0,2.0,3.0,5.0,5.0,5.0,1991-2021
Horas_de_sol,5.7,6.8,8.1,9.4,11.5,13.0,13.1,12.1,10.4,7.8,6.1,5.7,1991-2021
